date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2022-04-09,Philadelphia Flyers,Anaheim Ducks,1426.23205451353,1428.62074867015,0.56809247426241,0.43190752573759,3,5,1421.80640930426,1433.04639387942,0,0,0,16540,Anaheim Ducks,ANA,29,32,12,73,206,237
2022-04-10,Carolina Hurricanes,Anaheim Ducks,1576.44453600084,1433.04639387942,0.752741810889606,0.247258189110394,5,2,1578.53134060941,1430.95958927085,42,0,21,17210,Anaheim Ducks,ANA,29,33,12,74,208,242
2022-04-12,Florida Panthers,Anaheim Ducks,1596.63979459792,1430.95958927085,0.775834579686604,0.224165420313396,3,2,1597.61920133727,1429.9801825315,53,1,27,14811,Anaheim Ducks,ANA,29,33,13,75,210,245
2022-04-14,Tampa Bay Lightning,Anaheim Ducks,1564.99440104824,1429.9801825315,0.743650125449526,0.256349874550474,4,3,1566.12979322657,1428.84479035317,33,0,16,19092,Anaheim Ducks,ANA,29,33,14,76,213,249
2022-04-17,Anaheim Ducks,Columbus Blue Jackets,1428.84479035317,1463.20279326839,0.522495446578015,0.477504553421985,6,4,1432.45081263482,1459.59677098674,1,0,0,13083,Anaheim Ducks,ANA,30,33,14,77,219,253
2022-04-19,Anaheim Ducks,Los Angeles Kings,1432.45081263482,1493.871709888,0.483569925155661,0.516430074844339,1,2,1430.12868713474,1496.19383538808,6,87,46,13083,Anaheim Ducks,ANA,30,34,14,78,220,255
2022-04-23,Los Angeles Kings,Anaheim Ducks,1499.09122964354,1430.12868713474,0.664809931409428,0.335190068590572,4,2,1501.50194000094,1427.71797677734,6,14,10,14828,Anaheim Ducks,ANA,30,35,14,79,222,259
2022-04-24,Anaheim Ducks,St. Louis Blues,1427.71797677734,1567.8639789164,0.373104316861946,0.626895683138054,3,6,1424.41713786389,1571.16481782985,33,0,16,13083,Anaheim Ducks,ANA,30,36,14,80,225,265
2022-04-26,San Jose Sharks,Anaheim Ducks,1437.51990852931,1424.41713786389,0.589826636138038,0.410173363861962,2,5,1431.89925991014,1430.03778648306,0,0,0,12573,Anaheim Ducks,ANA,31,36,14,81,230,267
2022-04-29,Dallas Stars,Anaheim Ducks,1506.23313289318,1430.03778648306,0.674023307688952,0.325976692311048,4,2,1508.56978800006,1427.70113137618,8,0,4,17896,Anaheim Ducks,ANA,31,37,14,82,232,271
2021-10-14,Columbus Blue Jackets,Arizona Coyotes,1464.62996195965,1484.78129993772,0.542850306848751,0.457149693151249,8,2,1470.0445194452,1479.36674245217,13,53,33,16237,Arizona Coyotes,ARI,0,1,0,1,2,8
2021-10-16,Buffalo Sabres,Arizona Coyotes,1453.36681476938,1479.36674245217,0.534484048304631,0.465515951695369,2,1,1455.58868596793,1477.14487125362,8,44,26,9997,Arizona Coyotes,ARI,0,1,1,2,3,10
2021-10-18,Arizona Coyotes,St. Louis Blues,1477.14487125362,1510.57456791169,0.523828519066323,0.476171480933677,4,7,1472.26736947664,1515.45206968867,32,71,51,11601,Arizona Coyotes,ARI,0,2,1,3,7,17
