,date,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,team,abbr,game_num,last_game_date,team_rating,opposing_team_rating,rating_diff,gf,ga,rest_days,game_outcome
2005,2022-01-17,SO,Seattle Kraken,Chicago Blackhawks,SEA,CHI,1439.9930318823,1461.60013273152,0.540769947822547,0.459230052177453,0.239112049257849,1.19134733450203,1.04776471475582,3,2,1442.18026830789,1459.41289630593,2,2,2,Seattle Kraken,SEA,38,2022-01-15,1439.9930318823,1461.60013273152,-21.607100849219933,3,2,2.0,W
2006,2022-01-20,reg,Seattle Kraken,San Jose Sharks,SEA,SJS,1442.18026830789,1468.29618257681,0.534317920333164,0.465682079666836,0.239896172294123,1.18035118908437,1.05954498320975,3,2,1444.40305672968,1466.07339415502,3,15,9,Seattle Kraken,SEA,39,2022-01-17,1442.18026830789,1468.29618257681,-26.11591426892005,3,2,3.0,W
2007,2022-01-21,reg,Seattle Kraken,St. Louis Blues,SEA,STL,1444.40305672968,1536.84882617443,0.439217722974885,0.560782277025115,0.236679422242353,1.01116107127983,1.22551835096253,0,5,1439.54693483619,1541.70494806792,27,4,15,Seattle Kraken,SEA,40,2022-01-20,1444.40305672968,1536.84882617443,-92.44576944475011,0,5,1.0,L
2008,2022-01-23,reg,Seattle Kraken,Florida Panthers,SEA,FLA,1439.54693483619,1569.48241982342,0.386951274494394,0.613048725505606,0.230273645870874,0.915071514107456,1.31520213176342,5,3,1444.40116638732,1564.62818827229,42,1,21,Seattle Kraken,SEA,41,2022-01-21,1439.54693483619,1569.48241982342,-129.93548498722998,5,3,2.0,W
2009,2022-01-25,reg,Seattle Kraken,Nashville Predators,SEA,NSH,1444.40116638732,1530.68400885919,0.447973782649635,0.552026217350365,0.237744151277552,1.02718856982619,1.21055558145136,2,4,1441.05162494977,1534.03355029674,23,7,15,Seattle Kraken,SEA,42,2022-01-23,1444.40116638732,1530.68400885919,-86.28284247187003,2,4,2.0,L
2010,2022-01-27,OT,Pittsburgh Penguins,Seattle Kraken,PIT,SEA,1569.10036764819,1441.05162494977,0.735931975608886,0.264068024391114,0.214090093410282,1.52839829922633,0.685691794183948,1,2,1565.20869577083,1444.94329682713,43,0,21,Seattle Kraken,SEA,43,2022-01-25,1441.05162494977,1569.10036764819,-128.04874269842003,2,1,2.0,W
2011,2022-01-30,reg,New York Rangers,Seattle Kraken,NYR,SEA,1542.98717925206,1444.94329682713,0.701030344505406,0.298969655494594,0.218949859102493,1.46752005295727,0.751429806145219,3,2,1544.33360941307,1443.59686666612,30,1,15,Seattle Kraken,SEA,44,2022-01-27,1444.94329682713,1542.98717925206,-98.04388242492996,2,3,3.0,L
2012,2022-02-01,reg,Boston Bruins,Seattle Kraken,BOS,SEA,1547.89982012874,1443.59686666612,0.708526671882134,0.291473328117866,0.217929587600471,1.48057400595753,0.73735558164294,3,2,1549.20876277178,1442.28792402308,32,3,17,Seattle Kraken,SEA,45,2022-01-30,1443.59686666612,1547.89982012874,-104.30295346262005,2,3,2.0,L
2013,2022-02-02,reg,New York Islanders,Seattle Kraken,NYI,SEA,1512.80257738681,1442.28792402308,0.666797971563446,0.333202028436554,0.223478053485691,1.40805928385938,0.815418769626314,0,3,1506.25937664903,1448.83112476086,15,7,11,Seattle Kraken,SEA,46,2022-02-01,1442.28792402308,1512.80257738681,-70.51465336373008,3,0,1.0,W
2014,2022-02-09,reg,Seattle Kraken,Arizona Coyotes,SEA,ARI,1448.83112476086,1415.92385944873,0.617098902721838,0.382901097278162,0.229771098319425,1.32217741111299,0.907593687206433,2,5,1442.89138525833,1421.86359895126,0,0,0,Seattle Kraken,SEA,47,2022-02-02,1448.83112476086,1415.92385944873,32.907265312129994,2,5,7.0,L
