,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
691,,Toronto Maple Leafs,New Jersey Devils,TOR,NJD,6,4,2,-2,537.22
692,OT,Ottawa Senators,Edmonton Oilers,OTT,EDM,3,2,1,-1,2825.06
693,OT,Detroit Red Wings,Anaheim Ducks,DET,ANA,2,1,1,-1,3249.06
694,,Chicago Blackhawks,Vancouver Canucks,CHI,VAN,1,3,-2,2,2837.55
695,,Boston Bruins,Seattle Kraken,BOS,SEA,3,2,1,-1,4000.79
696,,New Jersey Devils,Toronto Maple Leafs,NJD,TOR,1,7,-6,6,537.22
697,OT,Pittsburgh Penguins,Washington Capitals,PIT,WSH,3,4,-1,1,306.41
698,,New York Rangers,Florida Panthers,NYR,FLA,5,2,3,-3,1724.36
699,OT,Tampa Bay Lightning,San Jose Sharks,TBL,SJS,3,2,1,-1,3808.56
700,,Philadelphia Flyers,Winnipeg Jets,PHI,WPG,3,1,2,-2,2044.74
701,,New York Islanders,Ottawa Senators,NYI,OTT,4,1,3,-3,540.23
702,,Nashville Predators,Vancouver Canucks,NSH,VAN,4,2,2,-2,3262.87
